FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
517.0,32187,CALLE BUENAVENTURA BONNET,1.0,3200.0,E0547,375445.970133,3149399.99789,-16.2722391501,28.4652371899
518.0,10563,AVDA JOSE MARTI,1.0,3200.0,E0548,378321.400451,3151058.35079,-16.2430494182,28.4804745692
519.0,10025,AVDA FRANCISCO LA ROCHE,1.0,3200.0,E0549,378205.169401,3150787.39659,-16.2442079251,28.4780184768
520.0,10025,AVDA FRANCISCO LA ROCHE,1.0,3200.0,E0550,378128.562573,3150724.3752,-16.2449836886,28.4774425768
521.0,10331,CALLE SAN ISIDRO,1.0,3200.0,E0551,377773.7506,3150491.64161,-16.2485828802,28.4753090401
522.0,31106,AVDA DE MADRID,1.0,3200.0,E0552,376228.665531,3149246.98195,-16.2642295872,28.463930833
523.0,57726,CALLE LOS HUARACHEROS,1.0,3200.0,E0553,375500.510905,3149052.84718,-16.2716446569,28.4621095534
524.0,31307,CALLE SANTIAGO SABINA,1.0,3200.0,E0554,375611.613675,3149332.32132,-16.2705402438,28.4646422582
525.0,32713,CTRA DEL ROSARIO,1.0,3200.0,E0555,374874.225781,3148047.36442,-16.2779311181,28.4529756935
526.0,32841,CALLE JUAN GARCIA ALVAREZ,1.0,3200.0,E0556,374983.331361,3149690.04303,-16.2769952173,28.4678104066
527.0,41453,CSRIO LOS LAURELES,1.0,3000.0,E0557,378024.960835,3156989.87372,-16.2467064717,28.5339757828
528.0,40322,CALLE CERCADO DE SAN ANDRES,1.0,3000.0,E0558,382968.190467,3154016.75121,-16.1958881298,28.5075987932
529.0,31772,CALLE SANTA MARIA SOLEDAD,3.0,120.0,E0559,373925.58362,3148476.944,-16.2876647424,28.4567610619
530.0,44842,CALLE PEDRO SUAREZ HERNANDEZ,1.0,3000.0,E0561,374807.926434,3148850.91454,-16.2786953752,28.4602209209
531.0,42793,CALLE GANDHI,1.0,3000.0,E0562,374985.507657,3148048.87997,-16.2767949732,28.4530000393
532.0,44053,CALLE JUAN BAUTISTA ACEVEDO,1.0,3000.0,E0563,375064.004271,3148301.2397,-16.2760207845,28.4552849671
533.0,44006,CALLE FRANCISCO GARCIA TALAVERA,1.0,3000.0,E0564,374931.33567,3148137.56201,-16.2773577485,28.4537951532
534.0,40175,CALLE MARIA JIMENEZ,1.0,3200.0,E0565,379973.984854,3152972.71967,-16.2263697351,28.4979042056
535.0,22405,CALLE ADEJE,1.0,3000.0,E0566,374881.177786,3150270.78295,-16.2781015404,28.473041449
536.0,58745,CALLE JUAN DORTA AVILA,1.0,3200.0,E0567,371594.453129,3146976.11161,-16.3113016186,28.4429896546
537.0,58745,CALLE JUAN DORTA AVILA,1.0,3000.0,E0568,371457.760733,3146785.0352,-16.3126759555,28.4412518612
538.0,10321,CALLE JESUS HERNANDEZ GUZMAN,1.0,3000.0,E0569,374674.304051,3147011.27545,-16.2798599398,28.4436063755
539.0,20027,CALLE ALVARO RODRIGUEZ LOPEZ,1.0,3200.0,E0570,377016.973234,3148619.9338,-16.2561123057,28.4583466181
540.0,57877,CALLE DECANO CONSULAR JESUS RAMOS GONZALEZ,1.0,3200.0,E0571,372865.191072,3144807.78103,-16.2980884922,28.42354618
541.0,10559,RBLA AÑAZA,1.0,3200.0,E0572,372829.575647,3145096.29105,-16.2984838377,28.4261463454
542.0,32133,CALLE JOSE LUIS DE MIRANDA,1.0,3000.0,E0573,374654.923371,3149721.31558,-16.2803524893,28.4680610908
543.0,20074,CALLE FUENTE DE SANTA CRUZ,1.0,3200.0,E0574,377147.630591,3148480.59009,-16.2547632215,28.4571014216
