FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
51.0,20205,CALLE PANAMA,1.0,3000.0,P0055,375976.140612,3148250.14595,-16.2667011535,28.4549109166
52.0,20205,CALLE PANAMA,1.0,3000.0,P0056,376016.426727,3148289.79696,-16.2662940435,28.4552725761
53.0,20171,CALLE FERNANDO AROZENA QUINTERO,1.0,3000.0,P0057,375819.250285,3148274.61571,-16.2683058458,28.4551168171
54.0,42835,CALLE ANTONIO LECUONA HARDISSON,1.0,3000.0,P0058,375238.614395,3147608.63668,-16.2741628405,28.4490513114
55.0,42955,CALLE JUAN DE AVILA,1.0,3000.0,P0059,375260.181223,3147780.2796,-16.2739611949,28.4506023587
56.0,42932,CALLE JOSE MALDONADO DUGOUR,1.0,3000.0,P0060,375096.777001,3147727.07,-16.2756239308,28.4501065378
57.0,43057,CALLE FERNANDO BEAUTELL,1.0,3000.0,P0061,374966.39,3147570.49784,-16.2769383121,28.4486810708
58.0,42576,CALLE POETA GUTIERREZ ALBELO,1.0,3000.0,P0062,375560.443669,3148239.48344,-16.270944812,28.4547751034
59.0,45377,CALLE CARACAS,1.0,3000.0,P0063,375759.958705,3148464.87344,-16.2689317967,28.456828147
60.0,42367,CALLE IZQUIERDO AZCARATE,1.0,3000.0,P0064,375506.335427,3148710.12571,-16.2715481562,28.4590172342
61.0,45772,CALLE LOS SAUCES,1.0,3000.0,P0066,375272.95,3148745.94,-16.2739352909,28.45931814
62.0,42793,CALLE GANDHI,1.0,3000.0,P0067,375074.109766,3148150.24527,-16.275901232,28.4539232932
63.0,44103,CALLE DULCE MARIA LOINAZ,1.0,3000.0,P0068,375222.335327,3148390.01556,-16.2744136243,28.4561012758
64.0,45675,CALLE CHIGUERGUE,1.0,3000.0,P0069,374592.534118,3148661.46558,-16.2808743,28.4584905585
65.0,45675,CALLE CHIGUERGUE,1.0,3000.0,P0070,374547.302824,3148684.32993,-16.2813386726,28.4586925463
66.0,10497,CALLE PINTOR JOSE AGUIAR,2.0,3000.0,P0071,377379.143562,3150458.24795,-16.2526095808,28.4749706132
67.0,82507,CALLE RAMON BAUDET GRANDY,1.0,3000.0,P0072,377006.602701,3150596.63491,-16.2564292295,28.476184383
68.0,82515,CALLE RUBEN MARICHAL LOPEZ,1.0,3000.0,P0073,376983.659296,3150661.03896,-16.2566704398,28.4767634312
69.0,82515,CALLE RUBEN MARICHAL LOPEZ,1.0,3000.0,P0074,376918.983933,3151275.06272,-16.2573966368,28.4822985712
70.0,82515,CALLE RUBEN MARICHAL LOPEZ,1.0,3000.0,P0075,376835.008336,3151225.77753,-16.2582490896,28.481845863
71.0,82515,CALLE RUBEN MARICHAL LOPEZ,1.0,3000.0,P0076,376802.976262,3151340.80272,-16.2585885726,28.4828808766
72.0,40821,CTRA LOS CAMPITOS,1.0,3000.0,P0077,376368.541361,3151699.42471,-16.2630644203,28.4860760951
73.0,30641,CALLE DOCTOR GONZALEZ COVIELLA,1.0,3000.0,P0078,377075.94447,3150535.15158,-16.2557144511,28.4756360692
74.0,30092,AVDA VEINTICINCO DE JULIO,1.0,3000.0,P0079,377106.14286,3150390.89957,-16.2553906309,28.4743371155
75.0,11141,CALLE ROBAYNA,1.0,3000.0,P0080,377178.514422,3149684.72051,-16.2545761855,28.4679710224
76.0,43982,CALLE ESTANISLAO BROTONS POVEDA,1.0,3000.0,P0081,374506.871315,3148605.14921,-16.2817429232,28.4579740962
77.0,44567,CALLE AMERICO LOPEZ MENDEZ,1.0,3000.0,P0082,374552.641401,3148545.26917,-16.2812690226,28.4574381162
78.0,82047,CALLE IGUESTE,1.0,3000.0,P0083,374309.805818,3148580.48099,-16.283752577,28.4577325041
79.0,43966,CALLE DOMINGO SALAZAR COLOGAN,1.0,3000.0,P0084,374359.61562,3148670.25283,-16.2832537283,28.4585474419
80.0,43966,CALLE DOMINGO SALAZAR COLOGAN,1.0,3000.0,P0085,374362.586553,3148713.1102,-16.2832280619,28.4589344909
81.0,43854,CALLE ELIAS BACALLADO,1.0,3000.0,P0086,374278.011843,3148778.94447,-16.2840988892,28.4595204569
82.0,31691,CALLE JOSE GUEZALA BIGNORY,1.0,3000.0,P0087,374373.942799,3148843.84443,-16.2831263456,28.4601153853
83.0,43386,CALLE SARGENTO PROVISIONAL,1.0,3000.0,P0088,373825.133438,3147887.99158,-16.288626024,28.4514364033
84.0,43765,CALLE HERMANO PEDRO,1.0,3000.0,P0089,374030.51,3147841.05,-16.2865238158,28.4510326292
85.0,45884,CALLE OLIVINA,1.0,3000.0,P0090,373853.998184,3148108.05084,-16.2883553653,28.4534250993
86.0,43467,CALLE SANTA MARGARITA,1.0,3000.0,P0091,373696.656316,3148253.96026,-16.2899779814,28.4547266203
