FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
676.0,44103,CALLE DULCE MARIA LOINAZ,2700.0,CT 2344,CL DULCE MARIA LOINAZ / CL POETA TRUJILLO,375217.387787,3148367.62016,-16.2744617214,28.4558986963
677.0,42673,RAMBLA GENERAL GARCIA ESCAMEZ,2700.0,CT 2577,RB GRAL. GARCIA ESCAMEZ / MERCADO,375343.67715,3148211.06619,-16.2731552036,28.4544979565
678.0,42707,CALLE JOSE PEÑA HERNANDEZ,2700.0,CT 2404,CL JOSE PE¥A HERNANDEZ,375425.068067,3148192.24685,-16.2723220666,28.4543358973
679.0,44842,CALLE PEDRO SUAREZ HERNANDEZ,2700.0,CT 2831,CL PEDRO SUAREZ HERNANDEZ / COLEGIO DE IDIOMAS (FRENTE),374830.045154,3148940.29055,-16.2784792105,28.4610296117
680.0,44567,CALLE AMERICO LOPEZ MENDEZ,2500.0,CT 0786,CM DEL HIERRO / CL AMERICO LOPEZ MENDEZ / CONT. BAS.,374556.058288,3148545.45634,-16.2812341515,28.4574401339
681.0,44567,CALLE AMERICO LOPEZ MENDEZ,2700.0,CT 2779,"CM DEL HIERRO, 99 / CL AMERICO LOPEZ MENDEZ",374553.442828,3148508.09262,-16.281256793,28.4571026962
682.0,45675,CALLE CHIGUERGUE,2500.0,CT 0795,"CL AMERICO LOPEZ MENDEZ / CL CHIGUERGUE, 1 / EDIF. ATAMAN",374603.510208,3148657.92113,-16.2807618309,28.4584596272
683.0,43227,AVENIDA PRINCIPES DE ESPAÑA,2500.0,CT 0059,"AV PRINCIPES DE ESPA¥A, 3 / GRUPO CHIMISAY BLOQ. 1 AL 9",374639.540221,3148344.86137,-16.2803598606,28.4556379045
684.0,43227,AVENIDA PRINCIPES DE ESPAÑA,2700.0,CT 2062,"AV PRINCIPES DE ESPA¥A, 3 / FARMACIA",374561.450053,3148384.46691,-16.2811615748,28.4559878147
685.0,43227,AVENIDA PRINCIPES DE ESPAÑA,2700.0,CT 3303,AV PRINCIPES DE ESPA¥A / C.C. YUMBO (FRENTE) / OFIC. DESCENTRALIZADA,374265.771035,3148334.05276,-16.2841753601,28.4555043886
686.0,42576,CALLE POETA GUTIERREZ ALBELO,1500.0,CT 1232,"CL POETA GUTIERREZ ARVELO, 9",375586.541308,3148238.71534,-16.2706782386,28.454770661
687.0,42576,CALLE POETA GUTIERREZ ALBELO,2700.0,CT 2799,CL POETA GUTIERREZ ARVELO (AL FINAL),375624.652299,3148335.48736,-16.2702995168,28.4556476115
688.0,42487,CALLE POETAS HERMANOS MACHADO,2700.0,CT 2333,CL POETA HNOS. MACHADO / MODESTO VIDARTE / CAMPO FéTBOL,375513.703661,3148364.75553,-16.2714356152,28.4559011574
689.0,45362,CALLE SANTA CRUZ DE CALIFORNIA,3000.0,CT 0045,"CL FEDERICO GARCIA LORCA, 26 / PLAZOLETA / CONT. BAS.",375579.352919,3148454.21058,-16.2707748998,28.4567147051
